
2023-07-16_16-58-25: cars 1, truck 0, bus 0, side: left
2023-07-16_16-58-25: cars 15, truck 3, bus 0, side: right
2023-07-16_16-58-36: cars 1, truck 0, bus 0, side: left
2023-07-16_16-58-36: cars 14, truck 3, bus 0, side: right
2023-07-16_16-58-46: cars 1, truck 0, bus 0, side: left
2023-07-16_16-58-46: cars 14, truck 4, bus 0, side: right
2023-07-16_16-58-57: cars 0, truck 0, bus 0, side: left
2023-07-16_16-58-57: cars 14, truck 3, bus 0, side: right
2023-07-16_16-59-08: cars 0, truck 0, bus 0, side: left
2023-07-16_16-59-08: cars 14, truck 4, bus 0, side: right
2023-07-16_16-59-19: cars 0, truck 0, bus 0, side: left
2023-07-16_16-59-19: cars 13, truck 4, bus 0, side: right
2023-07-16_16-59-30: cars 0, truck 0, bus 0, side: left
2023-07-16_16-59-30: cars 15, truck 3, bus 0, side: right
2023-07-16_16-59-40: cars 0, truck 0, bus 0, side: left
2023-07-16_16-59-40: cars 14, truck 3, bus 0, side: right
2023-07-16_16-59-52: cars 0, truck 0, bus 0, side: left
2023-07-16_16-59-52: cars 12, truck 3, bus 0, side: right
2023-07-16_17-00-03: cars 0, truck 0, bus 0, side: left
2023-07-16_17-00-03: cars 13, truck 3, bus 0, side: right
2023-07-16_17-00-14: cars 0, truck 0, bus 0, side: left
2023-07-16_17-00-14: cars 13, truck 3, bus 0, side: right
2023-07-16_17-00-25: cars 0, truck 1, bus 0, side: left
2023-07-16_17-00-25: cars 13, truck 3, bus 0, side: right
2023-07-16_17-00-36: cars 1, truck 0, bus 0, side: left
2023-07-16_17-00-36: cars 14, truck 3, bus 1, side: right
2023-07-16_17-00-48: cars 1, truck 0, bus 0, side: left
2023-07-16_17-00-48: cars 13, truck 3, bus 0, side: right
2023-07-16_17-00-58: cars 1, truck 0, bus 0, side: left
2023-07-16_17-00-58: cars 12, truck 3, bus 0, side: right
2023-07-16_17-01-09: cars 1, truck 0, bus 0, side: left
2023-07-16_17-01-09: cars 12, truck 4, bus 0, side: right
2023-07-16_17-01-20: cars 1, truck 0, bus 0, side: left
2023-07-16_17-01-20: cars 10, truck 3, bus 0, side: right
2023-07-16_17-01-32: cars 1, truck 0, bus 0, side: left
2023-07-16_17-01-32: cars 11, truck 1, bus 1, side: right
2023-07-16_17-01-43: cars 1, truck 0, bus 0, side: left
2023-07-16_17-01-43: cars 8, truck 0, bus 1, side: right
2023-07-16_17-01-54: cars 1, truck 0, bus 0, side: left
2023-07-16_17-01-54: cars 3, truck 3, bus 2, side: right
2023-07-16_17-02-06: cars 1, truck 0, bus 0, side: left
2023-07-16_17-02-06: cars 4, truck 2, bus 1, side: right
2023-07-16_17-02-17: cars 1, truck 0, bus 0, side: left
2023-07-16_17-02-17: cars 7, truck 2, bus 0, side: right
2023-07-16_17-02-28: cars 1, truck 0, bus 0, side: left
2023-07-16_17-02-28: cars 9, truck 2, bus 0, side: right
2023-07-16_17-02-40: cars 1, truck 0, bus 0, side: left
2023-07-16_17-02-40: cars 10, truck 2, bus 0, side: right
2023-07-16_17-02-50: cars 1, truck 0, bus 0, side: left
2023-07-16_17-02-50: cars 8, truck 3, bus 0, side: right
2023-07-16_17-03-01: cars 1, truck 0, bus 0, side: left
2023-07-16_17-03-01: cars 11, truck 2, bus 0, side: right
2023-07-16_17-03-12: cars 1, truck 0, bus 0, side: left
2023-07-16_17-03-12: cars 8, truck 2, bus 0, side: right
2023-07-16_17-03-23: cars 1, truck 0, bus 0, side: left
2023-07-16_17-03-23: cars 8, truck 1, bus 0, side: right
2023-07-16_17-03-34: cars 1, truck 0, bus 0, side: left
