(1, 'car', None)
(2, 'car', None)
(3, 'car', None)
(4, 'car', None)
(5, 'car', None)
(6, 'car', None)
(7, 'car', None)
(8, 'car', None)
(9, 'car', None)
(10, 'car', None)
(11, 'truck', None)
(12, 'car', None)
(13, 'car', None)
(14, 'car', None)
(15, 'car', None)
(16, 'truck', None)
(17, 'car', None)
(18, 'car', None)
(19, 'car', None)
(20, 'car', None)
(21, 'car', None)
(22, 'car', None)
(23, 'car', None)
(24, 'car', None)
(25, 'car', None)
(26, 'car', None)
(27, 'car', None)
(28, 'truck', None)
(29, 'car', None)
(30, 'car', None)
(31, 'car', None)
(32, 'car', None)
(33, 'truck', None)
(34, 'car', None)
(35, 'car', None)
(36, 'car', None)
(37, 'car', None)
(38, 'car', None)
(39, 'car', None)
(40, 'car', None)
(41, 'car', None)
(42, 'car', None)
(43, 'car', None)
(44, 'car', None)
(45, 'truck', None)
(46, 'car', None)
(47, 'car', None)
(48, 'car', None)
(49, 'car', None)
(50, 'truck', None)
(51, 'car', None)
(52, 'car', None)
(53, 'car', None)
(54, 'car', None)
(55, 'car', None)
(56, 'car', None)
(57, 'car', None)
(58, 'car', None)
(59, 'car', None)
(60, 'car', None)
(61, 'car', None)
(62, 'truck', None)
(63, 'car', None)
(64, 'car', None)
(65, 'car', None)
(66, 'car', None)
(67, 'truck', None)
(68, 'car', None)
(69, 'car', None)
(70, 'car', None)
(71, 'car', None)
(72, 'car', None)
(73, 'car', None)
(74, 'car', None)
(75, 'car', None)
(76, 'car', None)
(77, 'car', None)
(78, 'car', None)
(79, 'truck', None)
(80, 'car', None)
(81, 'car', None)
(82, 'car', None)
(83, 'car', None)
(84, 'truck', None)
(85, 'car', None)
(86, 'car', None)
(87, 'car', None)
(88, 'car', None)
(89, 'car', None)
(90, 'car', None)
(91, 'car', None)
(92, 'car', None)
(93, 'car', None)
(94, 'car', None)
(95, 'car', None)
(96, 'truck', None)
(97, 'car', None)
(98, 'car', None)
(99, 'car', None)
(100, 'car', None)
(101, 'truck', None)
(102, 'car', None)
(103, 'car', None)
(104, 'car', None)
(105, 'car', None)
(106, 'car', None)
(107, 'car', None)
(108, 'car', None)
(109, 'car', None)
(110, 'car', None)
